lga,courts,asian_born_pct
Boroondara,4,12.6
Brimbank,8,20.2
Cardinia,0,
Casey,12,13.0
Darebin,4,5.1
Frankston,0,
Glen Eira,4,8.9
Greater Dandenong,22,29.4
Hobsons Bay,6,
Hume,14,8.3
Kingston (Vic.),0,
Knox,10,13.4
Manningham,6,18.0
Maribyrnong,0,
Maroondah,3,8.7
Melbourne,12,24.2
Melton,0,
Mitchell,0,
Monash,26,26.3
Moonee Valley,4,
Moreland,0,4.5
Mornington Peninsula,0,
Nillumbik,4,1.4
Port Phillip,0,
Stonnington,0,
Whitehorse,0,21.8
Whittlesea,8,9.1
Wyndham,24,22.5
Yarra,0,
